Voltage (V);Current (A);Temp (C);SOC (estimated);SOC (messured)
4,182422654;-0,05648063;23,86636598;1;1
4,121969104;-1,379708969;23,86636598;0,99871633;0,993642916
4,008403715;-4,759974597;23,86636598;0,983504802;0,986600201
4,07382426;-0,396183741;23,86636598;0,956059339;0,967206353
4,118006622;-0,102428643;23,9714972;0,960547778;0,967493333
4,168761632;2,438692997;23,9714972;0,950096043;0,961379799
4,082972546;-0,757151447;23,9714972;0,939294837;0,957954787
4,06398245;-1,762761999;23,86636598;0,932173682;0,956009679
4,069100795;-1,06793258;23,86636598;0,923475991;0,950070828
4,089951592;0,101747705;23,76123477;0,918065767;0,944323333
4,064496175;-1,510068137;23,86636598;0,923244826;0,940412491
4,093873779;-0,046528193;23,76123477;0,914600901;0,938813333
4,074104737;-0,859986083;23,86636598;0,915059556;0,935689575
4,042345717;-1,581285103;23,76123477;0,909480215;0,930464571
4,02716431;-1,715799183;23,76123477;0,901503101;0,928992692
4,087905016;-0,099870423;23,86636598;0,903850958;0,925105101
3,995514364;-1,904083688;23,9714972;0,891630582;0,909628315
4,106899397;1,087194372;24,07661842;0,898232399;0,902015324
4,078904262;-0,075184722;23,9714972;0,895758958;0,89736
4,043392674;-0,779539877;24,07661842;0,886699519;0,890842699
4,072528221;-0,099870423;23,86636598;0,889200761;0,889313333
4,055323191;-0,956201066;23,9714972;0,888168967;0,886483423
4,046345461;-0,601325097;24,07661842;0,882405551;0,878872073
4,050742071;-0,242403472;23,76123477;0,878948888;0,87425
4,066269173;-0,103061389;24,07661842;0,879078309;0,871823333
4,030017423;-0,931996511;23,86636598;0,876219488;0,866948837
4,058360153;-0,0220614;23,84684651;0,87414543;0,864783333
4,060692201;-0,104976869;24,07661842;0,871821341;0,862736667
4,001332383;-2,060862852;23,65610356;0,872394293;0,858465384
4,056128312;-0,104976869;23,86636598;0,868422155;0,85582
3,951678469;-2,056316;24,07661842;0,849226537;0,834864541
3,953322479;-2,215959909;23,9714972;0,843935992;0,829833915
3,946743028;-2,072766634;23,86636598;0,835020845;0,824229955
4,024672585;-0,102514201;23,9714972;0,840785175;0,822043221
3,978280045;-1,090805336;23,9714972;0,828004342;0,817512684
4,051055588;1,575200463;23,86636598;0,826344957;0,81513795
3,974118739;-0,811964686;23,9714972;0,819472795;0,807775816
4,00520634;-0,226960557;23,76123477;0,820991122;0,805083333
3,945657464;-2,167604457;23,9714972;0,814998222;0,80076953
3,997961297;-0,104976869;23,86636598;0,811793388;0,797932595
3,98709525;-0,420199325;23,9714972;0,808142735;0,795349157
3,997931205;0,614058007;23,8962379;0,7996112;0,791195228
3,945413625;-0,752472417;23,86636598;0,792120405;0,78585123
3,936616209;-1,976272623;23,9714972;0,795832332;0,783570887
3,877790818;-1,835442173;24,07661842;0,769058347;0,759657032
3,993227688;2,750848378;24,18174963;0,766436099;0,757882886
3,908092733;-0,424014764;23,9714972;0,753984198;0,750811864
3,928058316;-0,315326426;23,9714972;0,752498193;0,74991176
3,938450191;-0,107525095;23,9714972;0,748501637;0,747513333
3,902440606;-0,625644396;23,86636598;0,73639114;0,741283102
3,893181152;-1,146750446;23,9714972;0,73738682;0,73548434
3,90889383;-0,395304656;23,86636598;0,732848674;0,731342684
3,915747356;-0,298369661;23,86636598;0,732767994;0,729057904
3,91798792;-0,105843304;23,86636598;0,729479539;0,725971133
3,879923864;-1,093068043;23,86636598;0,72152673;0,721419754
3,91359455;-0,104976869;23,86636598;0,72229044;0,720314258
3,96056234;2,745822246;23,76123477;0,712718259;0,714060105
3,787651654;-3,370827142;23,86636598;0,702973383;0,702053824
3,900937244;1,724701692;23,9714972;0,697539252;0,689030276
3,86654189;0,669440163;23,9714972;0,688274653;0,683755653
3,816800903;-2,238486252;23,9714972;0,681312942;0,680322818
3,87004758;0,162477004;23,9714972;0,679893088;0,67717
